,Name
0,Amazonite
1,Amethyst
2,Ametrine
3,Ammolite
4,Andalusite
5,Anyolite
6,Apatite
7,Aquamarine
8,Aventurine
9,Azurite
10,Azurmalachite
11,Beryl
12,Aquamarine
13,Emerald
14,Goshenite
15,Green Beryl
16,Heliodor
17,Morganite
18,Red Beryl
19,Benitoite
20,Birthstones
21,Bloodstone
22,Charoite
23,Chrysoberyl
24,Chrysoprase
25,Citrine
26,Cordierite
27,Diamond
28,Diopside
29,Dryhead Agate
30,Emerald
31,Fire Agate
32,Fluorite
33,Gaspeite
34,Garnet
35,Gem Silica
36,Geodes
37,Goldstone
38,Goshenite
39,Green Beryl
40,Helenite
41,Heliodor
42,Hematite
43,Idocrase
44,Iolite
45,Iris Agate
46,Jade
47,Jadeite
48,Jet
49,Granite
50,Kyanite
51,Labradorite
52,Lapis Lazuli
53,Lepidolite
54,Malachite
55,Maw Sit Sit
56,Moldavite
57,Moonstone
58,Morganite
59,Nephrite
60,Opal
61,Opalized Wood
62,Opalite
63,Organic Gems
64,Palm Wood
65,Peanut Wood
66,Peridot
67,Petrified Wood
68,Pinolith
69,Polka Dot Agate
70,Prasiolite
71,Quartz
72,Amethyst
73,Ametrine
74,Aventurine
75,Citrine
76,Prasiolite
77,Rose Quartz
78,Smoky Quartz
79,Red Beryl
80,Rhodochrosite
81,Rhodonite
82,Rose Quartz
83,Ruby
84,Sapphire
85,Fancy Sapphire
86,Scapolite
87,Serpentine
88,Smithsonite
89,Smoky Quartz
90,Sodalite
91,Sonora Sunrise
92,Sphalerite
93,Sphene
94,Spinel
95,Spodumene
96,Strontium Titanate
97,Sugilite
98,Sunstone
99,Tanzanite
100,Tiger's-Eye
101,Tiffany Stone
102,Titanite
103,Topaz
104,Blue Topaz
105,Tourmaline
106,Turquoise
107,Turritella Agate
108,Unakite
109,Variscite
110,Vesuvianite
111,Wonderstone
112,Zircon
113,Zoisite
